Addresses,B113.2,IPMC-301.3,IPMC-302.4,IPMC-304.7,IPMC-308.1,PM-301.3,Zombie
645 AMHERST ST,0,0,0,1,0,0,0
65 CONDON,0,0,0,0,1,0,0
65 WEYAND,0,0,0,1,1,0,0
660 MINNESOTA,0,0,0,1,0,0,0
664 HOPKINS,0,0,0,0,1,0,0
67 CENTRAL,0,0,0,0,1,0,0
67 CRESTWOOD,0,0,1,1,1,0,0
672 MINNESOTA,0,0,0,1,0,0,0
68 GRANT,0,0,0,0,1,0,0
68 JONES,0,0,0,1,0,0,0
68 ONTARIO,0,0,0,1,1,0,0
69 ZELMER,0,0,1,0,1,0,0
695 AUBURN,0,0,1,0,0,0,0
70 TROWBRIDGE,0,0,1,1,1,0,0
72 CHADDUCK,0,0,0,0,1,0,0
732 LA SALLE,0,0,1,0,1,0,0
74 CARL,0,0,0,1,1,0,0
74 FIELDS,0,0,1,0,0,0,0
77 SANDERS,0,0,0,1,0,0,0
78 GRISWOLD,0,0,0,0,1,0,0
78 SAGE,0,0,1,0,1,0,0
80 WESTON,0,0,0,1,0,0,0
807 NORTHAMPTON,0,0,1,0,1,0,0
825 COLUMBUS PKWY,0,0,1,0,0,0,0
83 DUNLOP,0,0,0,1,0,0,0
84 HUMASON,0,0,1,1,1,0,0
84 SIDWAY,0,0,0,1,1,0,0
85 WOLTZ,0,0,0,1,0,0,0
86 SUSSEX,0,0,0,0,0,1,0
88 LEWIS,0,0,1,1,0,0,0
88 WEYAND,0,0,1,1,1,0,0
9 DAISY,0,0,0,0,1,0,0
958 FERRY EAST,0,0,0,1,1,0,0
966 KENSINGTON,0,0,0,1,1,0,0
97 WEIMAR,0,0,0,1,0,0,0
97 WOODSIDE,0,0,0,1,1,0,0
98 TENTH,0,0,0,1,0,0,0
98 UNGER,0,0,1,1,1,0,0
99 CHAUNCEY,0,0,0,0,1,0,0
99 FREDRO,0,0,0,1,1,0,0
